Code,Description,Airline_Name,Airline_Initial
19170,Downeast Airlines Inc.: DEA,Downeast Airlines Inc.,DEA
19171,Decatur Aviation: DEC,Decatur Aviation,DEC
19172,DHL Airlines Inc.: DHL,DHL Airlines Inc.,DHL
19173,Dickman Aviation Services: DIC,Dickman Aviation Services,DIC
19174,Desert Pacific Airways: DPA,Desert Pacific Airways,DPA
19175,Desert Pacific Airlines Inc.: DPI,Desert Pacific Airlines Inc.,DPI
19176,Desert Airlines: DST,Desert Airlines,DST
19177,Executive Aviation Inc.: EAI,Executive Aviation Inc.,EAI
19178,Eastern Caribbean Airways: EAS,Eastern Caribbean Airways,EAS
19179,Eastern Carolina Aviation: ECI,Eastern Carolina Aviation,ECI
19180,Ede Aire: EDE,Ede Aire,EDE
19181,Executive Four Winds: EFA,Executive Four Winds,EFA
19182,Eagle Commuter Airlines Inc.: EGL,Eagle Commuter Airlines Inc.,EGL
19183,East Hampton Aire Inc.: EHA,East Hampton Aire Inc.,EHA
19184,East. Indiana Aviation Sale: EIA,East. Indiana Aviation Sale,EIA
19185,Air Pacific Inc.: EKA,Air Pacific Inc.,EKA
19186,Erie Airways Inc.: ERI,Erie Airways Inc.,ERI
19187,Empire Aero Service: ERO,Empire Aero Service,ERO
19188,Evanston Aviation: EVA,Evanston Aviation,EVA
19189,Federal Armored Service Inc.: FAR,Federal Armored Service Inc.,FAR
19190,Young Flying Service: FBI,Young Flying Service,FBI
19191,Southern Airlines Inc.: FCA,Southern Airlines Inc.,FCA
19192,Florida Airlines Inc.: FDA,Florida Airlines Inc.,FDA
19193,Freedom Airlines Inc.: FDM,Freedom Airlines Inc.,FDM
19194,Flamenco Airways Inc.: FLM,Flamenco Airways Inc.,FLM
19195,Ford-Aire Inc.: FOR,Ford-Aire Inc.,FOR
19196,Foster Aviation: FOS,Foster Aviation,FOS
19197,Skycraft Inc.: FVA,Skycraft Inc.,FVA
19198,Far West Airlines: FWA,Far West Airlines,FWA
19199,General Aviation Inc.: GAS,General Aviation Inc.,GAS
19200,Gromer Aviation Inc.: GAV,Gromer Aviation Inc.,GAV
19201,Central States Airline: GBA,Central States Airline,GBA
19202,Golden Carriage Aire: GCA,Golden Carriage Aire,GCA
19203,Midway Commuter: GCS,Midway Commuter,GCS
19204,Green Hills Aviation Ltd.: GHA,Green Hills Aviation Ltd.,GHA
19205,Green Mountain Airlines Ltd.: GMA,Green Mountain Airlines Ltd.,GMA
19206,Copper State Airlines: GOF,Copper State Airlines,GOF
19207,Isle Royale Seaplane Serv.: GRO,Isle Royale Seaplane Serv.,GRO
19208,Golden South Airlines Inc.: GSL,Golden South Airlines Inc.,GSL
19209,Gull Air Inc.: GUL,Gull Air Inc.,GUL
19210,Gunnel Aviation Inc.: GUN,Gunnel Aviation Inc.,GUN
19211,Ross Aviation Inc.: GWE,Ross Aviation Inc.,GWE
19212,Heussler Air Service Corp: HEU,Heussler Air Service Corp,HEU
19213,Hensley Flying Service Inc.: HFS,Hensley Flying Service Inc.,HFS
19214,Long Island Airlines: HMZ,Long Island Airlines,HMZ
19215,Holiday Airlines Inc.: HOL,Holiday Airlines Inc.,HOL
19216,Iowa Airlines: HOR,Iowa Airlines,HOR
19217,Pacific Coast Airlines: HPZ,Pacific Coast Airlines,HPZ
19218,Trans-National Airlines Haw: HRA,Trans-National Airlines Haw,HRA
19219,Scenic Airlines Inc.: HSZ,Scenic Airlines Inc.,HSZ
19220,Skystream Airlines: HUB,Skystream Airlines,HUB
19221,Hawking Corporation: HWK,Hawking Corporation,HWK
19222,Hyannis Aviation: HYA,Hyannis Aviation,HYA
19223,Iowa City Flying Service: ICF,Iowa City Flying Service,ICF
19224,Idee Industries Inc.: III,Idee Industries Inc.,III
19225,Inland Empire Airlines Inc.: INA,Inland Empire Airlines Inc.,INA
19226,Indiana Airways Inc. (Pa): IND,Indiana Airways Inc. (Pa),IND
19227,Indo-Pacific International: IPI,Indo-Pacific International,IPI
19228,Island Airlines: ISL,Island Airlines,ISL
19229,Sunbelt Airlines Inc.: JAM,Sunbelt Airlines Inc.,JAM
19230,Air Chico: JCM,Air Chico,JCM
